Protein FDR Confidence: Combined	Master	Accession	Description	Contaminant	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Gene Symbol	Chromosome	KEGG Pathways	Reactome Pathways	WikiPathways	# Protein Pathway Groups	Abundance Ratio: (T48h) / (T0)	Abundance Ratio: (T96h) / (T0)	Abundance Ratio: (T96h) / (T48h)	Abundance Ratio (log2): (T48h) / (T0)	Abundance Ratio (log2): (T96h) / (T0)	Abundance Ratio (log2): (T96h) / (T48h)	Abundance Ratio P-Value: (T48h) / (T0)	Abundance Ratio P-Value: (T96h) / (T0)	Abundance Ratio P-Value: (T96h) / (T48h)	Abundance Ratio Adj. P-Value: (T48h) / (T0)	Abundance Ratio Adj. P-Value: (T96h) / (T0)	Abundance Ratio Adj. P-Value: (T96h) / (T48h)	Found in Sample: [S28] F4: 126, Sample, T0, P1	Found in Sample: [S31] F4: 127N, Sample, T0, P2	Found in Sample: [S32] F4: 128N, Sample, T0, P3	Found in Sample: [S29] F5: 126, Sample, T0, P1	Found in Sample: [S39] F5: 127N, Sample, T0, P2	Found in Sample: [S40] F5: 128N, Sample, T0, P3	Found in Sample: [S30] F6: 126, Sample, T0, P1	Found in Sample: [S47] F6: 127N, Sample, T0, P2	Found in Sample: [S48] F6: 128N, Sample, T0, P3	Found in Sample: [S33] F4: 128C, Sample, T48h, P1	Found in Sample: [S34] F4: 129N, Sample, T48h, P2	Found in Sample: [S35] F4: 129C, Sample, T48h, P3	Found in Sample: [S41] F5: 128C, Sample, T48h, P1	Found in Sample: [S42] F5: 129N, Sample, T48h, P2	Found in Sample: [S43] F5: 129C, Sample, T48h, P3	Found in Sample: [S49] F6: 128C, Sample, T48h, P1	Found in Sample: [S50] F6: 129N, Sample, T48h, P2	Found in Sample: [S51] F6: 129C, Sample, T48h, P3	Found in Sample: [S36] F4: 130N, Sample, T96h, P1	Found in Sample: [S37] F4: 130C, Sample, T96h, P2	Found in Sample: [S38] F4: 131, Sample, T96h, P3	Found in Sample: [S44] F5: 130N, Sample, T96h, P1	Found in Sample: [S45] F5: 130C, Sample, T96h, P2	Found in Sample: [S46] F5: 131, Sample, T96h, P3	Found in Sample: [S52] F6: 130N, Sample, T96h, P1	Found in Sample: [S53] F6: 130C, Sample, T96h, P2	Found in Sample: [S54] F6: 131, Sample, T96h, P3	# Protein Groups
High	Master Protein	P46779	60S ribosomal protein L28 OS=Homo sapiens OX=9606 GN=RPL28 PE=1 SV=3	FAUX	18.717	32	5	18	5	137	15.7	12.02	49.06	5	"cell organization and biogenesis;metabolic process;regulation of biological process;transport"	"cytosol;membrane;ribosome"	"protein binding;RNA binding;structural molecule activity"	Pf01778	6158	ENSG00000108107.14	RPL28	19	Ribosome	"Peptide chain elongation; Eukaryotic Translation Termination; Viral mRNA Translation; L13a-mediated translational silencing of Ceruloplasmin expression; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Selenocysteine synthesis; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane"	Cytoplasmic Ribosomal Proteins	34	0.908	0.789	0.831	-0.14	-0.34	-0.27	0.395381446	0.606367547	0.760293148	0.858053773	0.975594019	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q15819	Ubiquitin-conjugating enzyme E2 variant 2 OS=Homo sapiens OX=9606 GN=UBE2V2 PE=1 SV=4	FAUX	18.701	28	5	18	2	145	16.4	8.09	44.36	5	"cell proliferation;metabolic process;regulation of biological process;response to stimulus"	"cytoplasm;nucleus"	"catalytic activity;protein binding"	Pf00179	7336	ENSG00000169139.11	UBE2V2	8		"G2/M DNA damage checkpoint; E3 ubiquitin ligases ubiquitinate target proteins; Formation of Incision Complex in GG-NER; Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks; Processing of DNA double-strand break ends; Nonhomologous End-Joining (NHEJ); Antigen processing: Ubiquitination & Proteasome degradation"		23	1.001	0.813	0.821	0	-0.3	-0.29	0.771295947	0.665898811	0.727132439	0.982227132	0.986470615	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	O60869	Endothelial differentiation-related factor 1 OS=Homo sapiens OX=9606 GN=EDF1 PE=1 SV=1	FAUX	18.661	39	7	12	7	148	16.4	9.95	22.6	7	"cell differentiation;development;metabolic process;regulation of biological process"	"cytoplasm;cytosol;nucleus"	"catalytic activity;DNA binding;protein binding;RNA binding"	Pf01381, Pf08523, Pf12844, Pf13560	8721	ENSG00000107223.12	EDF1	9				0	1.033	0.655	0.678	0.05	-0.61	-0.56	0.950940782	0.303648175	0.29486024	0.998387812	0.873118619	0.864804924	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P58546	Myotrophin OS=Homo sapiens OX=9606 GN=MTPN PE=1 SV=2	FAUX	18.599	29	3	15	3	118	12.9	5.52	43.33	3	"cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus"	"cytoplasm;cytosol;nucleus"	"DNA binding;protein binding"	Pf00023, Pf12796, Pf13606, Pf13637, Pf13857	"767558; 136319"	ENSG00000105887.10	"LUZP6; MTPN"	7				0	1.075	0.661	0.701	0.1	-0.6	-0.51	0.86639151	0.314551023	0.355592326	0.997016351	0.873118619	0.931442694	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P19623	Spermidine synthase OS=Homo sapiens OX=9606 GN=SRM PE=1 SV=1	FAUX	18.534	17	4	7	4	302	33.8	5.49	18.86	4	metabolic process	cytosol	"catalytic activity;protein binding"	Pf01564	6723	ENSG00000116649.9	SRM	1	"Glutathione metabolism; beta-Alanine metabolism; Metabolic pathways; Cysteine and methionine metabolism; Arginine and proline metabolism"	Metabolism of polyamines	"Amino Acid metabolism; Nucleotide Metabolism; Urea cycle and metabolism of amino groups"	11	0.858	0.562	0.695	-0.22	-0.83	-0.53	0.211086391	0.145516812	0.338929469	0.649961781	0.646423377	0.915028482	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P02787	Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=3	VRAI	18.505	10	5	8	5	698	77	7.12	16.31	5	"cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport"	"cell surface;endosome;extracellular;membrane;organelle lumen"	"enzyme regulator activity;metal ion binding;protein binding;transporter activity"	Pf00405, Pf12974	7018	ENSG00000091513.14	TF	3	"HIF-1 signaling pathway; Mineral absorption"	"Platelet degranulation ; Post-translational protein phosphorylation; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Cargo recognition for clathrin-mediated endocytosis; Transferrin endocytosis and recycling"	"Iron metabolism in placenta; Differentiation Pathway; Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways"	20	0.752	0.846	0.999	-0.41	-0.24	0	0.031192673	0.748370447	0.71232067	0.202230749	0.990871106	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9Y376	Calcium-binding protein 39 OS=Homo sapiens OX=9606 GN=CAB39 PE=1 SV=1	FAUX	18.351	16	6	10	6	341	39.8	6.89	27.94	6	"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytosol;extracellular;organelle lumen"	"catalytic activity;enzyme regulator activity;protein binding"	Pf08569	51719	ENSG00000135932.10	CAB39	2	"AMPK signaling pathway; mTOR signaling pathway"	"Energy dependent regulation of mTOR by LKB1-AMPK; Neutrophil degranulation"	"AMP-activated Protein Kinase (AMPK) Signaling; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway; Endochondral Ossification"	11	1.115	0.989	0.901	0.16	-0.02	-0.15	0.664816826	0.911824221	0.992405138	0.969936377	0.992757967	0.99944241	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P28072	Proteasome subunit beta type-6 OS=Homo sapiens OX=9606 GN=PSMB6 PE=1 SV=4	FAUX	18.325	20	4	11	4	239	25.3	4.92	32.62	4	"metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytosol;nucleus;proteasome"	"catalytic activity;protein binding"	Pf00227	5694	ENSG00000142507.9	PSMB6	17	Proteasome	"Regulation of RAS by GAPs; CDT1 association with the CDC6:ORC:origin complex; Downstream TCR signaling; UCH proteinases; NIK-->noncanonical NF-kB signaling; Hh mutants that don't undergo autocatalytic processing are degraded by ERAD; SCF-beta-TrCP mediated degradation of Emi1; Cross-presentation of soluble exogenous antigens (endosomes); Separation of Sister Chromatids; Vpu mediated degradation of CD4; Hedgehog ligand biogenesis; Regulation of RUNX2 expression and activity; Ub-specific processing proteases; Ubiquitin Mediated Degradation of Phosphorylated Cdc25A; ER-Phagosome pathway; APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1; ABC-family proteins mediated transport; Regulation of activated PAK-2p34 by proteasome mediated degradation; CDK-mediated phosphorylation and removal of Cdc6; FCERI mediated NF-kB activation; Neddylation; Autodegradation of the E3 ubiquitin ligase COP1; G2/M Checkpoints; Regulation of RUNX3 expression and activity; Cdc20:Phospho-APC/C mediated degradation of Cyclin A; Regulation of expression of SLITs and ROBOs; Removal of licensing factors from origins; FBXL7 down-regulates AURKA during mitotic entry and in early mitosis; Regulation of PTEN stability and activity; Regulation of DNA replication; Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha; Vif-mediated degradation of APOBEC3G; Antigen processing: Ubiquitination & Proteasome degradation; GLI3 is processed to GLI3R by the proteasome; SCF(Skp2)-mediated degradation of p27/p21; APC/C:Cdc20 mediated degradation of Securin; Interleukin-1 family signaling; AUF1 (hnRNP D0) binds and destabilizes mRNA; Degradation of GLI1 by the proteasome; Degradation of GLI2 by the proteasome; The role of GTSE1 in G2/M progression after G2 checkpoint; Regulation of ornithine decarboxylase (ODC); Interleukin-20 family signaling; Hedgehog 'on' state; Ubiquitin-dependent degradation of Cyclin D1; Degradation of DVL; RUNX1 regulates transcription of genes involved in differentiation of HSCs; Degradation of AXIN; Autodegradation of Cdh1 by Cdh1:APC/C; Asymmetric localization of PCP proteins; Orc1 removal from chromatin; M/G1 Transition; Activation of NF-kappaB in B cells; Degradation of beta-catenin by the destruction complex; MAPK6/MAPK4 signaling; Dectin-1 mediated noncanonical NF-kB signaling; Defective CFTR causes cystic fibrosis"	Proteasome Degradation	150	1.058	1.116	1.101	0.08	0.16	0.14	0.925628201	0.655864963	0.470315654	0.998387812	0.985984329	0.952976831	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P04196	Histidine-rich glycoprotein OS=Homo sapiens OX=9606 GN=HRG PE=1 SV=1	FAUX	18.283	9	4	9	4	525	59.5	7.5	29.93	4	"coagulation;defense response;regulation of biological process;response to stimulus;transport"	"cell surface;endosome;extracellular;membrane;organelle lumen;vacuole"	"enzyme regulator activity;metal ion binding;protein binding"		3273	ENSG00000113905.4	HRG	3		"Platelet degranulation ; Dissolution of Fibrin Clot"		5	0.489	0.493	1.015	-1.03	-1.02	0.02	1.90379E-06	0.069544501	0.669481298	3.6108E-05	0.399394245	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q96C90	Protein phosphatase 1 regulatory subunit 14B OS=Homo sapiens OX=9606 GN=PPP1R14B PE=1 SV=3	FAUX	18.227	31	2	5	2	147	15.9	4.86	20.75	2	"defense response;regulation of biological process;response to stimulus"	cytoplasm	enzyme regulator activity	Pf05361	26472	ENSG00000173457.10	PPP1R14B	11				0	1.118	0.658	0.611	0.16	-0.6	-0.71	0.671849454	0.309494453	0.154903368	0.975153837	0.873118619	0.677128753	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	1
High	Master Protein	P40222	Alpha-taxilin OS=Homo sapiens OX=9606 GN=TXLNA PE=1 SV=3	FAUX	18.216	11	6	9	6	546	61.9	6.52	15.42	6	"cell proliferation;regulation of biological process;transport"	"cytoplasm;cytosol;extracellular;membrane"	protein binding	Pf09728	200081	ENSG00000084652.15	TXLNA	1		Other interleukin signaling		4	1.074	1.094	1.003	0.1	0.13	0	0.925903383	0.697206615	0.701144783	0.998387812	0.990871106	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P14866	Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2	FAUX	18.169	8	5	12	5	589	64.1	8.22	27.13	5	"metabolic process;regulation of biological process"	"cytoplasm;membrane;nucleus"	"DNA binding;protein binding;RNA binding"	Pf00076, Pf13893, Pf14259	3191	"ENSG00000282947.1; ENSG00000104824.16"	HNRNPL	"19; CHR_HG26_PATCH"		mRNA Splicing - Major Pathway	mRNA Processing	5	0.58	0.606	1.032	-0.79	-0.72	0.04	0.000143785	0.213768828	0.627248877	0.002003227	0.768595012	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9H0U4	Ras-related protein Rab-1B OS=Homo sapiens OX=9606 GN=RAB1B PE=1 SV=1	FAUX	18.147	31	6	11	4	201	22.2	5.73	27.09	6	"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytosol;Golgi;membrane;mitochondrion"	"catalytic activity;nucleotide binding;protein binding"	Pf00025, Pf00071, Pf01926, Pf04670, Pf08477, Pf09439	81876	ENSG00000174903.15	RAB1B	11	Legionellosis	"COPI-dependent Golgi-to-ER retrograde traffic; COPII (Coat Protein 2) Mediated Vesicle Transport; COPI-mediated anterograde transport; Golgi Cisternae Pericentriolar Stack Reorganization; RAB GEFs exchange GTP for GDP on RABs; RAB geranylgeranylation"		21	1.05	1.024	0.957	0.07	0.03	-0.06	0.984135505	0.836362403	0.831641573	0.998387812	0.990871106	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P61289	Proteasome activator complex subunit 3 OS=Homo sapiens OX=9606 GN=PSME3 PE=1 SV=1	FAUX	18.105	20	5	13	5	254	29.5	5.95	32.36	5	"cell death;metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytosol;membrane;nucleus;proteasome"	"enzyme regulator activity;protein binding"	Pf02251, Pf02252	10197	ENSG00000131467.10	PSME3	17	"Proteasome; Hepatitis C; Antigen processing and presentation"	"Regulation of RAS by GAPs; CDT1 association with the CDC6:ORC:origin complex; Downstream TCR signaling; UCH proteinases; NIK-->noncanonical NF-kB signaling; Hh mutants that don't undergo autocatalytic processing are degraded by ERAD; SCF-beta-TrCP mediated degradation of Emi1; Cross-presentation of soluble exogenous antigens (endosomes); Separation of Sister Chromatids; Vpu mediated degradation of CD4; Hedgehog ligand biogenesis; Regulation of RUNX2 expression and activity; Ub-specific processing proteases; Ubiquitin Mediated Degradation of Phosphorylated Cdc25A; ER-Phagosome pathway; APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1; ABC-family proteins mediated transport; Regulation of activated PAK-2p34 by proteasome mediated degradation; CDK-mediated phosphorylation and removal of Cdc6; FCERI mediated NF-kB activation; Neddylation; Autodegradation of the E3 ubiquitin ligase COP1; G2/M Checkpoints; Regulation of RUNX3 expression and activity; Cdc20:Phospho-APC/C mediated degradation of Cyclin A; Regulation of expression of SLITs and ROBOs; Removal of licensing factors from origins; FBXL7 down-regulates AURKA during mitotic entry and in early mitosis; Regulation of PTEN stability and activity; Regulation of DNA replication; Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha; Vif-mediated degradation of APOBEC3G; Antigen processing: Ubiquitination & Proteasome degradation; GLI3 is processed to GLI3R by the proteasome; SCF(Skp2)-mediated degradation of p27/p21; APC/C:Cdc20 mediated degradation of Securin; Interleukin-1 family signaling; AUF1 (hnRNP D0) binds and destabilizes mRNA; Degradation of GLI1 by the proteasome; Degradation of GLI2 by the proteasome; The role of GTSE1 in G2/M progression after G2 checkpoint; Regulation of ornithine decarboxylase (ODC); Interleukin-20 family signaling; Hedgehog 'on' state; Ubiquitin-dependent degradation of Cyclin D1; Degradation of DVL; RUNX1 regulates transcription of genes involved in differentiation of HSCs; Degradation of AXIN; Autodegradation of Cdh1 by Cdh1:APC/C; Asymmetric localization of PCP proteins; Orc1 removal from chromatin; M/G1 Transition; Activation of NF-kappaB in B cells; Degradation of beta-catenin by the destruction complex; MAPK6/MAPK4 signaling; Dectin-1 mediated noncanonical NF-kB signaling; Defective CFTR causes cystic fibrosis"	Proteasome Degradation	152	0.762	0.635	0.849	-0.39	-0.66	-0.24	0.04706076	0.264546299	0.820655898	0.260333667	0.851756057	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q16222	UDP-N-acetylhexosamine pyrophosphorylase OS=Homo sapiens OX=9606 GN=UAP1 PE=1 SV=3	FAUX	18.095	11	3	5	3	522	58.7	6.33	12.79	3	metabolic process	"cytoplasm;cytosol;membrane"	"catalytic activity;protein binding"	Pf01704	6675	ENSG00000117143.13	UAP1	1	"Amino sugar and nucleotide sugar metabolism; Metabolic pathways"	Synthesis of UDP-N-acetyl-glucosamine		8	0.785	0.416	0.533	-0.35	-1.26	-0.91	0.103049357	0.022378924	0.054794289	0.448135641	0.202036927	0.382881454	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P50281	Matrix metalloproteinase-14 OS=Homo sapiens OX=9606 GN=MMP14 PE=1 SV=3	FAUX	18.08	9	5	8	5	582	65.9	7.77	18.82	5	"cell differentiation;cell organization and biogenesis;cell proliferation;cellular component movement;metabolic process;regulation of biological process;response to stimulus"	"cytoplasm;cytoskeleton;cytosol;endosome;membrane;nucleus;organelle lumen"	"catalytic activity;enzyme regulator activity;metal ion binding;protein binding"	Pf00045, Pf00413, Pf01471, Pf11857	4323	ENSG00000157227.12	MMP14	14	"TNF signaling pathway; GnRH signaling pathway"	"Collagen degradation; Activation of Matrix Metalloproteinases"	"Matrix Metalloproteinases; AGE/RAGE pathway; VEGFA-VEGFR2 Signaling Pathway; Senescence and Autophagy in Cancer"	10	0.855	1.706	2.035	-0.23	0.77	1.03	0.170345249	0.105118955	0.003036649	0.580406565	0.520292724	0.051147137	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q13404	Ubiquitin-conjugating enzyme E2 variant 1 OS=Homo sapiens OX=9606 GN=UBE2V1 PE=1 SV=2	FAUX	18.073	28	5	17	2	147	16.5	7.93	43.52	5	"cell differentiation;metabolic process;regulation of biological process;response to stimulus"	"cytoplasm;cytosol;nucleus"	"catalytic activity;protein binding"	Pf00179	"7335; 387522"	ENSG00000244687.11	"UBE2V1; TMEM189-UBE2V1"	20		"IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation; Downstream TCR signaling; NOD1/2 Signaling Pathway; IKK complex recruitment mediated by RIP1; TICAM1, RIP1-mediated IKK complex recruitment ; TAK1 activates NFkB by phosphorylation and activation of IKKs complex; Antigen processing: Ubiquitination & Proteasome degradation; FCERI mediated NF-kB activation; Activated TLR4 signalling; Interleukin-1 family signaling; IRAK1 recruits IKK complex; JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1; TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling; activated TAK1 mediates p38 MAPK activation; CLEC7A (Dectin-1) signaling"	"IL-1 signaling pathway; Interleukin-1 Induced Activation of NF-kappa-B; Simplified Depiction of MYD88 Distinct Input-Output Pathway"	46	1.081	1.066	0.975	0.11	0.09	-0.04	0.845220408	0.750141837	0.780552882	0.996688851	0.990871106	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q15257	Serine/threonine-protein phosphatase 2A activator OS=Homo sapiens OX=9606 GN=PTPA PE=1 SV=3	FAUX	18.019	21	5	11	5	358	40.6	5.94	31.88	5	"cell organization and biogenesis;metabolic process;regulation of biological process"	"cytoplasm;nucleus"	"catalytic activity;enzyme regulator activity;nucleotide binding;protein binding"	Pf03095	5524	ENSG00000119383.19	"PPP2R4; PTPA"	9	Insulin resistance		"Interleukin-11 Signaling Pathway; Constitutive Androstane Receptor Pathway; ATM Signaling Network in Development and Disease; Wnt Signaling Pathway and Pluripotency; Glycogen Metabolism"	6	1.103	1.066	0.95	0.14	0.09	-0.07	0.713235892	0.750225477	0.853261335	0.982227132	0.990871106	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q05193	Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=2	FAUX	18.008	8	5	12	2	864	97.3	7.17	33.99	5	"cell communication;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytoskeleton;Golgi;membrane"	"catalytic activity;nucleotide binding;protein binding;RNA binding"	Pf00169, Pf00350, Pf01031, Pf02212	1759	ENSG00000106976.20	DNM1	9	"Endocytosis; Phospholipase D signaling pathway; Endocrine and other factor-regulated calcium reabsorption; Bacterial invasion of epithelial cells; Synaptic vesicle cycle"	"EPH-ephrin mediated repulsion of cells; Formation of annular gap junctions; Retrograde neurotrophin signalling; Toll Like Receptor 4 (TLR4) Cascade; Clathrin-mediated endocytosis; MHC class II antigen presentation; Recycling pathway of L1"	"Synaptic Vesicle Pathway; Primary Focal Segmental Glomerulosclerosis FSGS; One carbon metabolism and related pathways; EGF/EGFR Signaling Pathway"	33	1.112	1.044	0.971	0.15	0.06	-0.04	0.833191553	0.793506063	0.791898898	0.992879268	0.990871106	0.991557151	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	Not Found	Not Found	Not Found	High	High	High	High	High	High	1
